nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
ATUN EVEBA 140GR AGUA Y LIMON,889.87,2.2118,Bs.889.87,08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=3999&search=limon,402.3343,2026-02-21T14:21:26.722471
ATUN LA FRAGUA 145GR LIMON,1359.3,3.3785,"Bs.1,359.30",08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=34740&search=limon,402.3343,2026-02-21T14:21:26.742364
BANDEJA LIMON INJERTO !500! GR,350.43,0.871,Bs.350.43,08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=3547&search=limon,402.3343,2026-02-21T14:21:26.761227
BARQUILLA PIRULIN 155GR LIMON LATA,2686.19,6.6765,"Bs.2,686.19",08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=32004&search=limon,402.3343,2026-02-21T14:21:26.782559
BASE DE LIMON KINDY 800ML LIGHT SIN AZUCAR,4355.93,10.8266,"Bs.4,355.93",08FRUV,limon,https://www.plansuarez.com/index.php?route=product/product&product_id=27006&search=limon,402.3343,2026-02-21T14:21:26.821040
ACEITUNA CASA DE FRUTA 180GR PIMENTON,596.31,1.4821,Bs.596.31,08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=10626&search=pimenton,402.3343,2026-02-21T14:21:33.389796
ACEITUNA EUREKA 500GR RELL PIMENTON,2974.48,7.3931,"Bs.2,974.48",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=4582&search=pimenton,402.3343,2026-02-21T14:21:33.411635
ACEITUNA INDIAN 500GR RELL PIMENTON,2878.03,7.1533,"Bs.2,878.03",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=6978&search=pimenton,402.3343,2026-02-21T14:21:33.433345
ACEITUNAS KRISOL 235GR C/PIMENTON,2109.52,5.2432,"Bs.2,109.52",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=36045&search=pimenton,402.3343,2026-02-21T14:21:33.455942
ACEITUNAS RELLENAS C/PIMENTON X KG,4947.1,12.296,"Bs.4,947.10",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=30434&search=pimenton,402.3343,2026-02-21T14:21:33.499530
BANDEJA PIMENTON !300! G,321.87,0.8,Bs.321.87,08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=3537&search=pimenton,402.3343,2026-02-21T14:21:33.521197
PIMENTON CARMENCITA 75GR AHUMADO DE LA VERA EN LATA,4307.58,10.7065,"Bs.4,307.58",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=23989&search=pimenton,402.3343,2026-02-21T14:21:33.544311
